[TRACE] 18:03:38:226 SWAP/(3861:3861): Pag: 23, Estado: 0
[TRACE] 18:03:38:226 SWAP/(3861:3861): Pag: 24, Estado: 0
[TRACE] 18:03:38:226 SWAP/(3861:3861): Pag: 25, Estado: 0
[TRACE] 18:03:38:244 SWAP/(3861:3861): Pag: 26, Estado: 0
[TRACE] 18:03:38:245 SWAP/(3861:3861): Pag: 27, Estado: 0
[TRACE] 18:03:38:245 SWAP/(3861:3861): Pag: 28, Estado: 0
[TRACE] 18:03:38:245 SWAP/(3861:3861): Pag: 29, Estado: 0
[TRACE] 18:03:38:245 SWAP/(3861:3861): Pag: 30, Estado: 0
[TRACE] 18:03:38:246 SWAP/(3861:3861): Pag: 31, Estado: 0
[TRACE] 18:03:38:246 SWAP/(3861:3861): Pag: 32, Estado: 0
[TRACE] 18:03:38:246 SWAP/(3861:3861): Pag: 33, Estado: 0
[TRACE] 18:03:38:246 SWAP/(3861:3861): Pag: 34, Estado: 0
[TRACE] 18:03:38:246 SWAP/(3861:3861): Pag: 35, Estado: 0
[TRACE] 18:03:38:247 SWAP/(3861:3861): Pag: 36, Estado: 0
[TRACE] 18:03:38:253 SWAP/(3861:3861): Pag: 37, Estado: 0
[TRACE] 18:03:38:254 SWAP/(3861:3861): Pag: 38, Estado: 0
[TRACE] 18:03:38:254 SWAP/(3861:3861): Pag: 39, Estado: 0
[TRACE] 18:03:38:254 SWAP/(3861:3861): Pag: 40, Estado: 0
[TRACE] 18:03:38:254 SWAP/(3861:3861): Pag: 41, Estado: 0
[TRACE] 18:03:38:255 SWAP/(3861:3861): Pag: 42, Estado: 0
[TRACE] 18:03:38:263 SWAP/(3861:3861): Pag: 43, Estado: 0
[TRACE] 18:03:38:264 SWAP/(3861:3861): Pag: 44, Estado: 0
[TRACE] 18:03:38:264 SWAP/(3861:3861): Pag: 45, Estado: 0
[TRACE] 18:03:38:264 SWAP/(3861:3861): Pag: 46, Estado: 0
[TRACE] 18:03:38:264 SWAP/(3861:3861): Pag: 47, Estado: 0
[TRACE] 18:03:38:265 SWAP/(3861:3861): Pag: 48, Estado: 0
[TRACE] 18:03:38:265 SWAP/(3861:3861): Pag: 49, Estado: 0
[TRACE] 18:03:38:265 SWAP/(3861:3861): Pag: 50, Estado: 0
[TRACE] 18:03:38:265 SWAP/(3861:3861): Pag: 51, Estado: 0
[TRACE] 18:03:38:265 SWAP/(3861:3861): Pag: 52, Estado: 0
[TRACE] 18:03:38:266 SWAP/(3861:3861): Pag: 53, Estado: 0
[TRACE] 18:03:38:266 SWAP/(3861:3861): Pag: 54, Estado: 0
[TRACE] 18:03:38:266 SWAP/(3861:3861): Pag: 55, Estado: 0
[TRACE] 18:03:38:266 SWAP/(3861:3861): Pag: 56, Estado: 0
[TRACE] 18:03:38:267 SWAP/(3861:3861): Pag: 57, Estado: 0
[TRACE] 18:03:38:279 SWAP/(3861:3861): Pag: 58, Estado: 0
[TRACE] 18:03:38:280 SWAP/(3861:3861): Pag: 59, Estado: 0
[TRACE] 18:03:38:280 SWAP/(3861:3861): Pag: 60, Estado: 0
[TRACE] 18:03:38:280 SWAP/(3861:3861): Pag: 61, Estado: 0
[TRACE] 18:03:38:280 SWAP/(3861:3861): Pag: 62, Estado: 0
[TRACE] 18:03:38:280 SWAP/(3861:3861): Pag: 63, Estado: 0
[TRACE] 18:03:38:281 SWAP/(3861:3861): Pag: 64, Estado: 0
[TRACE] 18:03:38:281 SWAP/(3861:3861): Pag: 65, Estado: 0
[TRACE] 18:03:38:281 SWAP/(3861:3861): Pag: 66, Estado: 0
